Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.37,"6,423,128","220,105","1,121",1998,4.41,872420,"Fantasy,Fiction,Fantasy,Science Fiction Fantasy,Fantasy,Adult,Adventure,Audiobook,Fantasy,Epic"
Leonardo da Vinci (Hardcover),Walter Isaacson,4.15,"1,633,640","39,790",71,2017,4.19,91944,"Biography,Nonfiction,History,Art,Science,Biography Memoir,Audiobook,Cultural,Historical,Art"
Who Moved My Cheese? (Hardcover),Spencer Johnson,3.87,"602,552","21,300",91,1999,3.85,436808,"Nonfiction,Self Help,Business,Psychology,Leadership,Self Help,Business,Philosophy,Inspirational,Audiobook"
The Nickel Boys (Kindle Edition),Colson Whitehead,4.06,"700,067","67,228",33,2019,4.27,213937,"Fiction,Historical,Audiobook,Historical,Race,Literary Fiction,Cultural,Adult,Novels,Adult Fiction"
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.23,"8,430,713","485,060",187,2012,4.23,496544,"Fantasy,Young Adult,Romance,Fantasy,Fantasy,Paranormal,Fiction,Paranormal,Fantasy,Young Adult"
"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,3.95,"351,927","57,414",29,2019,3.84,144429,"Romance,Contemporary,Fiction,Adult,Romance,Audiobook,Womens Fiction,Disability,Adult Fiction,Humor"
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.23,"8,430,713","485,060",187,2014,4.40,353166,"Fantasy,Young Adult,Romance,Fantasy,Fantasy,Paranormal,Fiction,Paranormal,Young Adult,Fantasy"
Catherine the Great: Portrait of a Woman (Hardcover),Robert K. Massie,4.06,"209,806","9,566",29,2011,3.93,102142,"History,Biography,Nonfiction,Cultural,Historical,Biography Memoir,History,Audiobook,History,Literature"
The Overstory (Paperback),Richard Powers,4.02,"212,363","29,227",69,2018,4.13,131372,"Fiction,Environment,Literary Fiction,Environment,Contemporary,Novels,Historical,Literature,Audiobook,Book Club"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.91,"2,137,572","63,265",220,1976,4.01,546057,"Horror,Fantasy,Fiction,Paranormal,Fantasy,Classics,Gothic,Fantasy,Historical,Fantasy"
Hamnet (Hardcover),Maggie O'Farrell,4.09,"375,352","45,670",41,2020,4.23,185676,"Historical,Fiction,Historical,Literary Fiction,Audiobook,Adult,European Literature,Book Club,Novels,Adult Fiction"
Nine Perfect Strangers (Hardcover),Liane Moriarty,3.95,"3,271,355","221,863",35,2018,3.54,377414,"Fiction,Audiobook,Contemporary,Mystery,Thriller,Womens Fiction,Adult,Adult Fiction,Thriller,Cultural"
Wish You Were Here (Hardcover),Jodi Picoult,3.99,"4,447,186","273,761",82,2021,3.99,153115,"Fiction,Contemporary,Audiobook,Romance,Adult,Adult Fiction,Womens Fiction,Realistic Fiction,Literary Fiction,Historical"
Rock Paper Scissors (Hardcover),Alice Feeney,3.89,"501,391","62,909",15,2021,3.97,190201,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Thriller,Mystery"
Middlemarch (Paperback),George Eliot,3.86,"380,212","21,679",717,1872,4.00,151775,"Classics,Fiction,Historical,Literature,Literature,Historical,Novels,European Literature,Romance,Audiobook"
Dear John (Hardcover),Nicholas Sparks,4.1,"6,336,889","194,781",193,2006,4.04,579825,"Romance,Fiction,Womens Fiction,Contemporary,Adult,Adult Fiction,Young Adult,Romance,Love,Drama"
Peter Pan (Hardcover),J.M. Barrie,4.07,"398,877","16,638",736,1911,4.04,323391,"Classics,Fantasy,Fiction,Childrens,Adventure,Young Adult,Childrens,Audiobook,Fantasy,Literature"
"Slammed (Slammed, #1)",Colleen Hoover,4.24,"9,639,646","874,623",62,2012,4.22,264980,"Romance,New Adult,Young Adult,Contemporary,Romance,Fiction,Womens Fiction,Young Adult,Realistic Fiction,Poetry"
"Life After Life (Todd Family, #1)",Kate Atkinson,3.81,"654,534","67,510",57,2013,3.77,217612,"Fiction,Historical,Fantasy,Historical,Science Fiction,Audiobook,Literary Fiction,Adult,War,War"
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.2,"1,398,032","46,649","3,373",1844,4.09,305619,"Classics,Fiction,Historical,Adventure,Cultural,Literature,Historical,European Literature,Classics,Novels"
Rework (Hardcover),Jason Fried,3.96,"186,338","7,255",8,2010,3.97,158868,"Business,Nonfiction,Business,Business,Self Help,Productivity,Leadership,Buisness,Self Help,Science"
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,4.06,"17,485,048","775,865","1,886",2014,3.99,282268,"Fiction,Thriller,Horror,Mystery,Mystery,Audiobook,Thriller,Suspense,Adult,Mystery"
"I, Robot (Robot, #0.1)",Isaac Asimov,4.17,"2,345,929","77,923","2,981",1950,4.21,321788,"Science Fiction,Fiction,Classics,Short Stories,Science Fiction Fantasy,Fantasy,Science Fiction,Audiobook,Novels,Speculative Fiction"
Bunny (Hardcover),Mona Awad,3.52,"101,838","23,576",10,2019,3.57,78035,"Horror,Fiction,Contemporary,Thriller,Fantasy,Adult,Magical Realism,Literary Fiction,Audiobook,Thriller"
The Last Song (Hardcover),Nicholas Sparks,4.1,"6,336,889","194,781",193,2008,4.16,538382,"Romance,Fiction,Young Adult,Contemporary,Womens Fiction,Adult,Realistic Fiction,Drama,Adult Fiction,Love"
Can You Keep a Secret? (Paperback),Sophie Kinsella,3.75,"3,109,459","136,095",90,2003,3.84,419651,"Womens Fiction,Romance,Fiction,Contemporary,Humor,Romance,Adult,Adult Fiction,Audiobook,Humor"
"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",Amanda Lovelace,3.82,"219,214","26,575",26,2016,3.84,119096,"Poetry,Feminism,Nonfiction,Contemporary,Adult,Health,Romance,Autobiography,Audiobook,Womens"
The Immortalists (Hardcover),Chloe  Benjamin,3.71,"193,532","19,225",3,2018,3.71,189027,"Fiction,Fantasy,Historical,Contemporary,Audiobook,Magical Realism,Literary Fiction,Adult,Adult Fiction,Book Club"
Pet Sematary (Kindle Edition),Stephen King,4.06,"17,485,048","775,865","1,886",1983,4.04,523454,"Horror,Fiction,Thriller,Fantasy,Audiobook,Fantasy,Adult,Fantasy,Mystery,Suspense"
"Inferno (Robert Langdon, #4)",Dan Brown,3.87,"7,967,754","200,537",134,2013,3.87,522727,"Fiction,Thriller,Mystery,Thriller,Historical,Suspense,Adventure,Mystery,Novels,Adult"
The Joy Luck Club (Paperback),Amy Tan,3.94,"1,006,296","30,319",84,1989,3.95,646463,"Fiction,Historical,Classics,Cultural,Contemporary,Adult Fiction,Adult,Historical,Cultural,Literature"
Mansfield Park (Paperback),Jane Austen,4.14,"7,410,768","236,954","2,082",1814,3.86,324818,"Classics,Fiction,Romance,Historical,Literature,Historical,Literature,European Literature,Audiobook,Classics"
"Lean In: Women, Work, and the Will to Lead (Hardcover)",Sheryl Sandberg,3.94,"309,225","18,599",27,2013,3.95,248478,"Nonfiction,Business,Feminism,Self Help,Leadership,Audiobook,Womens,Autobiography,Self Help,Biography"
"Lean In: Women, Work, and the Will to Lead (Hardcover)",Sheryl Sandberg,3.94,"309,225","18,599",27,2013,3.95,248478,"Nonfiction,Business,Feminism,Self Help,Leadership,Audiobook,Womens,Autobiography,Self Help,Biography"
The Invention of Wings (Hardcover),Sue Monk Kidd,4.07,"1,745,263","82,645",38,2014,4.25,298838,"Historical,Fiction,Historical,Book Club,Audiobook,Adult,Adult Fiction,Novels,Literary Fiction,Cultural"
Deep Work: Rules for Focused Success in a Distracted World (Hardcover),Cal Newport,4.13,"247,368","22,563",92,2016,4.19,126624,"Nonfiction,Self Help,Productivity,Business,Psychology,Self Help,Audiobook,Leadership,Business,Philosophy"
Invisible Man (Paperback),Ralph Ellison,3.9,"183,821","8,218",52,1952,3.90,176203,"Classics,Fiction,Literature,Race,Cultural,Historical,Novels,Academic,Literature,Literary Fiction"
Apples Never Fall (Hardcover),Liane Moriarty,3.95,"3,271,355","221,863",35,2021,3.80,243152,"Fiction,Mystery,Audiobook,Thriller,Thriller,Contemporary,Adult,Cultural,Adult Fiction,Suspense"
The New Jim Crow: Mass Incarceration in the Age of Colorblindness (Hardcover),Michelle Alexander,4.52,"100,472","10,225",25,2010,4.52,99213,"Nonfiction,Race,History,Politics,Social Movements,Sociology,Race,Audiobook,Cultural,Law"
Seven Days in June (Hardcover),Tia Williams,4.08,"91,995","11,681",21,2021,4.08,87573,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,Adult Fiction,Womens Fiction,Writing,Cultural"
Getting Things Done: The Art of Stress-Free Productivity (Paperback),David    Allen,3.99,"157,029","6,585",68,2001,4.00,148907,"Nonfiction,Business,Productivity,Self Help,Self Help,Business,Psychology,Leadership,Reference,Audiobook"
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.16,"4,926,126","186,956",415,1983,4.00,359712,"Fantasy,Fiction,Humor,Humor,Science Fiction Fantasy,Science Fiction,Fantasy,Adventure,Fantasy,Novels"
Lore (Hardcover),Alexandra Bracken,4.09,"505,672","58,592",31,2021,3.79,67359,"Fantasy,Fantasy,Young Adult,Mythology,Fiction,Young Adult,Retellings,Fantasy,Romance,Fantasy"
Walden (Paperback),Henry David Thoreau,3.84,"283,099","12,581",968,1854,3.78,178078,"Classics,Philosophy,Nonfiction,Environment,Autobiography,Literature,Biography,Writing,Literature,Environment"
Ariadne (Hardcover),Jennifer Saint,3.81,"84,651","12,490",4,2021,3.82,70769,"Fantasy,Fantasy,Fiction,Mythology,Historical,Retellings,Adult,Historical,Romance,Audiobook"
Uprooted (Hardcover),Naomi Novik,4.06,"867,228","97,459",65,2015,4.05,211969,"Fantasy,Young Adult,Fiction,Romance,Fantasy,Fantasy,Retellings,Fantasy,Adult,Audiobook"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.17,"4,852,942","160,529",68,2007,4.23,702368,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Cultural,Audiobook,Adult"
The Red Tent (Hardcover),Anita Diamant,4.11,"691,348","34,837",24,1997,4.19,569318,"Historical,Fiction,Historical,Religion,Book Club,Feminism,Adult,Adult Fiction,Womens,Novels"
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.07,"705,685","19,084",43,1996,4.13,599235,"Nonfiction,Autobiography,Biography,Classics,Cultural,Biography,Biography Memoir,History,European Literature,Historical"
The House of the Spirits (Paperback),Isabel Allende,4.0,"1,050,280","75,789",146,1982,4.26,235298,"Fiction,Magical Realism,Historical,Classics,Fantasy,European Literature,Historical,Novels,Literature,Cultural"
"Easy (Contours of the Heart, #1)",Tammara Webber,4.03,"323,234","18,652",9,2012,4.08,225511,"Romance,New Adult,Contemporary,Young Adult,Romance,Academic,Fiction,Womens Fiction,Realistic Fiction,Sociology"
The Warmth of Other Suns: the Epic Story of America's Great Migration (Hardcover),Isabel Wilkerson,4.49,"212,975","28,557",7,2010,4.44,90547,"Nonfiction,History,Race,North American Hi...,Cultural,Social Movements,Biography,Historical,Race,Audiobook"
My Grandmother Asked Me to Tell You She's Sorry (Hardcover),Fredrik Backman,4.26,"2,271,558","270,402",27,2013,4.07,208655,"Fiction,Contemporary,Fantasy,Audiobook,Humor,Adult,Adult Fiction,Book Club,Family,Literary Fiction"
Artemis (Hardcover),Andy Weir,4.28,"1,953,645","196,612",48,2017,3.69,231916,"Science Fiction,Fiction,Audiobook,Space,Science Fiction Fantasy,Adult,Fantasy,Thriller,Adventure,Mystery"
This is How You Lose the Time War (Kindle Edition),Amal El-Mohtar,3.95,"126,279","25,194",111,2019,3.95,107144,"Science Fiction,Romance,Fiction,LGBT,Fantasy,Science Fiction,LGBT,LGBT,Adult,Novella"
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.97,"642,536","27,961","1,112",1900,3.99,423849,"Classics,Fantasy,Fiction,Childrens,Young Adult,Adventure,Childrens,Audiobook,Fantasy,Literature"
The Rose Code (Paperback),Kate Quinn,4.32,"824,572","70,577",26,2021,4.46,165605,"Historical,Fiction,Historical,Audiobook,War,Mystery,War,Adult,Adult Fiction,European Literature"
The Memory Keeper's Daughter (Paperback),Kim Edwards,3.68,"603,794","22,665",15,2005,3.69,587841,"Fiction,Contemporary,Historical,Adult Fiction,Adult,Book Club,Drama,Womens Fiction,Novels,Family"
"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,3.89,"358,148","36,320",14,2019,3.85,160630,"Fantasy,Romance,Fantasy,Retellings,Mythology,Romance,New Adult,Fiction,Adult,Audiobook"
Archer's Voice (ebook),Mia Sheridan,4.21,"485,703","56,800",56,2014,4.31,211574,"Romance,New Adult,Contemporary,Romance,Adult,Fiction,Disability,Sociology,Drama,Love"
Everything I Know About Love (Hardcover),Dolly Alderton,4.05,"204,251","17,769",7,2018,4.11,131608,"Nonfiction,Autobiography,Romance,Audiobook,Self Help,Biography,Contemporary,Feminism,Writing,Biography"
Into Thin Air: A Personal Account of the Mount Everest Disaster (Paperback),Jon Krakauer,4.06,"1,816,833","69,478",43,1997,4.22,462241,"Nonfiction,Adventure,Autobiography,Travel,Biography,History,Adventure,Sports,Biography Memoir,Sports"
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character (Paperback)",Richard P. Feynman,4.25,"338,645","12,974",160,1985,4.27,187190,"Science,Nonfiction,Biography,Science,Autobiography,Biography,Humor,History,Biography Memoir,Audiobook"
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.23,"8,430,713","485,060",187,2011,4.09,562793,"Fantasy,Young Adult,Romance,Fantasy,Fantasy,Paranormal,Fiction,Paranormal,Fantasy,Young Adult"
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,4.21,"500,317","90,698",30,2015,4.25,143119,"Science Fiction,Young Adult,Romance,Fantasy,Fiction,Science Fiction,Audiobook,Space,Thriller,Adventure"
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,3.77,"404,072","64,717",43,2020,3.82,151425,"Horror,Fiction,Fantasy,Paranormal,Audiobook,Fantasy,Thriller,Adult,Mystery,Fantasy"
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,4.17,"3,659,560","407,634",69,2013,3.84,500103,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Audiobook,Fantasy"
Furiously Happy: A Funny Book About Horrible Things (Hardcover),Jenny  Lawson,3.91,"382,119","40,707",7,2015,3.89,153440,"Nonfiction,Humor,Autobiography,Audiobook,Health,Biography,Humor,Biography Memoir,Mental Health,Writing"
Furiously Happy: A Funny Book About Horrible Things (Hardcover),Jenny  Lawson,3.91,"382,119","40,707",7,2015,3.89,153440,"Nonfiction,Humor,Autobiography,Audiobook,Health,Biography,Humor,Biography Memoir,Mental Health,Writing"
Let's Pretend This Never Happened: A Mostly True Memoir (Hardcover),Jenny  Lawson,3.91,"382,119","40,707",7,2012,3.89,184312,"Nonfiction,Autobiography,Humor,Biography,Audiobook,Humor,Biography Memoir,Biography,Adult,Health"
Green Eggs and Ham (Hardcover),Dr. Seuss,4.25,"3,632,867","64,723",416,1960,4.30,719843,"Childrens,Childrens,Fiction,Classics,Poetry,Fantasy,Humor,Kids,Food and Drink,Young Adult"
Thus Spoke Zarathustra (Paperback),Friedrich Nietzsche,4.04,"420,142","17,368","1,407",1883,4.07,134490,"Philosophy,Classics,Nonfiction,European Literature,Literature,Religion,Literature,Psychology,Unfinished,Poetry"
Transcendent Kingdom (Hardcover),Yaa Gyasi,4.36,"410,151","46,054",11,2020,4.13,126552,"Fiction,Contemporary,Literary Fiction,Audiobook,Cultural,Health,Adult,Adult Fiction,Novels,Family"
"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,4.14,"826,425","67,592",28,2011,4.01,278572,"Fiction,Historical,Cultural,European Literature,Literary Fiction,Contemporary,Audiobook,Novels,Historical,Young Adult"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,4.17,"3,659,601","407,636",69,2014,4.02,425891,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Audiobook,Fantasy"
Girl in Pieces (Hardcover),Kathleen Glasgow,4.1,"126,130","16,308",10,2016,4.09,90679,"Young Adult,Health,Contemporary,Fiction,Mental Health,Romance,Realistic Fiction,Audiobook,Young Adult,Sociology"
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.07,"1,257,997","85,583",753,1968,4.01,284990,"Fantasy,Fiction,Young Adult,Classics,Science Fiction Fantasy,Fantasy,Fantasy,Science Fiction,Adventure,Audiobook"
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,4.06,"544,179","75,988",15,2016,3.97,117511,"Historical,Mystery,Young Adult,Historical,Romance,Horror,Fantasy,Thriller,Fiction,Thriller"
A Farewell to Arms (Paperback),Ernest Hemingway,3.83,"2,446,530","97,597",944,1929,3.81,297455,"Classics,Fiction,Historical,War,Literature,Novels,Literature,Romance,Classics,Historical"
Where the Forest Meets the Stars (Hardcover),Glendy Vanderah,4.18,"197,597","16,896",4,2019,4.14,161832,"Fiction,Contemporary,Mystery,Romance,Fantasy,Magical Realism,Audiobook,Adult,Adult Fiction,Book Club"
The Origin of Species (Hardcover),Charles Darwin,4.0,"147,813","4,930",714,1859,4.00,109227,"Science,Nonfiction,Classics,Science,Biology,Philosophy,History,Environment,Anthropology,Science"
1776 (Paperback),David McCullough,4.08,"883,396","39,003",80,2005,4.08,217155,"History,Nonfiction,North American Hi...,Historical,Military History,War,Audiobook,Politics,American Revolution,War"
The Paris Library (Hardcover),Janet Skeslien Charles,4.07,"95,446","10,529",3,2021,4.08,93869,"Historical,Fiction,Historical,War,Writing,Audiobook,Cultural,War,Adult,Adult Fiction"
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,4.15,"1,540,036","51,513","5,482",1849,4.38,241276,"Classics,Poetry,Horror,Fiction,Short Stories,Gothic,Mystery,Fantasy,Literature,Classics"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.14,"3,884,910","114,660",913,1964,4.15,785733,"Childrens,Fantasy,Fiction,Classics,Young Adult,Childrens,Humor,Adventure,Childrens,Novels"
The War of the Worlds (Paperback),H.G. Wells,3.82,"1,238,344","50,189","2,250",1897,3.83,287440,"Classics,Science Fiction,Fiction,Fantasy,Horror,Science Fiction Fantasy,Literature,Audiobook,Novels,Science Fiction"
Small Great Things (Kindle Edition),Jodi Picoult,3.99,"4,447,198","273,761",82,2016,4.35,327175,"Fiction,Contemporary,Audiobook,Adult,Adult Fiction,Book Club,Race,Realistic Fiction,Drama,Literary Fiction"
"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,4.17,"3,659,601","407,636",69,2021,4.38,106838,"Fantasy,Young Adult,Fiction,Young Adult,Romance,LGBT,Fantasy,Fantasy,Audiobook,Adventure"
What Alice Forgot (Paperback),Liane Moriarty,3.95,"3,271,368","221,863",35,2009,4.08,428452,"Fiction,Womens Fiction,Contemporary,Romance,Audiobook,Adult,Mystery,Adult Fiction,Book Club,Cultural"
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.68,"13,006,232","387,893",74,2008,3.72,1562817,"Fantasy,Young Adult,Romance,Paranormal,Fiction,Fantasy,Romance,Fantasy,Shapeshifters,Fantasy"
Local Woman Missing (Hardcover),Mary Kubica,3.83,"633,775","57,334",22,2021,4.13,178196,"Thriller,Mystery,Thriller,Fiction,Audiobook,Suspense,Adult,Mystery,Contemporary,Adult Fiction"
"Saga, Volume 1 (Paperback)",Brian K. Vaughan,4.24,"1,843,828","109,688",668,2012,4.17,306601,"Sequential Art,Sequential Art,Fantasy,Science Fiction,Fiction,Graphic Novels Comics,Adult,Romance,Comics,Adventure"
The Plague (Paperback),Albert Camus,4.02,"1,436,037","65,349",564,1947,4.02,227452,"Fiction,Classics,Philosophy,Cultural,Literature,European Literature,Novels,Literature,Literary Fiction,Academic"
The Glass Hotel (Hardcover),Emily St. John Mandel,3.99,"711,690","83,220",20,2020,3.69,140279,"Fiction,Contemporary,Mystery,Literary Fiction,Audiobook,Adult,Cultural,Adult Fiction,Thriller,Thriller"
Black Cake (Hardcover),Charmaine Wilkerson,4.15,"77,623","9,070",4,2022,4.15,77545,"Fiction,Historical,Contemporary,Mystery,Audiobook,Literary Fiction,Adult,Family,Historical,Adult Fiction"
Running with Scissors (Paperback),Augusten Burroughs,3.82,"664,408","28,165",19,2002,3.75,377676,"Autobiography,Nonfiction,Biography,Humor,Biography Memoir,Biography,LGBT,Psychology,Health,Mental Health"
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.68,"13,006,232","387,893",74,2006,3.58,1757664,"Young Adult,Fantasy,Romance,Paranormal,Fiction,Fantasy,Romance,Fantasy,Shapeshifters,Fantasy"
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2018,4.62,276511,"Fantasy,Young Adult,Romance,New Adult,Fairies,Fantasy,Young Adult,Fiction,Fantasy,Romance"
"After You (Me Before You, #2)",Jojo Moyes,4.11,"3,003,008","213,734",60,2015,3.73,347629,"Romance,Fiction,Contemporary,Womens Fiction,Audiobook,Adult,Adult Fiction,Drama,Romance,Realistic Fiction"
The Exorcist (Mass Market Paperback),William Peter Blatty,4.15,"232,406","8,712",30,1971,4.19,213111,"Horror,Fiction,Classics,Fantasy,Thriller,Fantasy,Fantasy,Religion,Audiobook,Adult"
"Across the Universe (Across the Universe, #1)",Beth Revis,3.87,"255,573","27,590",45,2011,3.77,117003,"Young Adult,Science Fiction,Science Fiction,Romance,Fantasy,Fiction,Mystery,Space,Young Adult,Adventure"
"Bird Box (Bird Box, #1)",Josh Malerman,3.89,"239,145","32,094",67,2014,4.04,172061,"Horror,Fiction,Thriller,Science Fiction,Mystery,Science Fiction,Apocalyptic,Audiobook,Adult,Suspense"
The Paris Wife (Hardcover),Paula McLain,3.83,"449,978","40,679",17,2011,3.82,287135,"Historical,Fiction,Historical,Romance,Cultural,Book Club,Audiobook,Adult Fiction,Adult,Novels"
A Thousand Boy Kisses (ebook),Tillie Cole,4.21,"455,903","57,507",51,2016,4.16,117402,"Romance,Young Adult,Contemporary,Romance,Fiction,Young Adult,Young Adult,New Adult,Audiobook,Love"
The Phantom of the Opera (Paperback),Gaston Leroux,3.94,"241,632","10,748",533,1909,3.96,223106,"Classics,Fiction,Horror,Romance,Gothic,Mystery,Historical,Cultural,Fantasy,Literature"
The Last Lecture (Kindle Edition),Randy Pausch,4.26,"330,619","18,605",10,2008,4.26,330353,"Nonfiction,Autobiography,Biography,Self Help,Inspirational,Philosophy,Biography,Biography Memoir,Audiobook,Self Help"
Kindred (Paperback),Octavia E. Butler,4.21,"574,767","59,983",83,1979,4.29,160030,"Historical,Fiction,Science Fiction,Fantasy,Science Fiction,Historical,Classics,Cultural,Race,Audiobook"
One Italian Summer (Hardcover),Rebecca Serle,3.75,"500,075","49,620",13,2022,3.64,104352,"Fiction,Romance,Audiobook,Contemporary,Magical Realism,Womens Fiction,Adult,Cultural,Travel,Adult Fiction"
"The Magicians (The Magicians, #1)",Lev Grossman,3.71,"473,460","44,905",45,2009,3.52,252224,"Fantasy,Fiction,Fantasy,Fantasy,Young Adult,Adult,Audiobook,Science Fiction Fantasy,Adventure,Adult Fiction"
The Omnivore's Dilemma: A Natural History of Four Meals (Hardcover),Michael Pollan,4.12,"613,422","47,259",62,2006,4.18,197846,"Nonfiction,Food and Drink,Science,Health,History,Health,Environment,Food and Drink,Audiobook,Politics"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.34,"11,197,573","446,248",278,2009,4.53,862079,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Young Adult"
Under the Dome (Hardcover),Stephen King,4.06,"17,485,061","775,865","1,886",2009,3.91,283257,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,Suspense,Adult,Science Fiction"
The Shack (Kindle Edition),William Paul Young,3.8,"627,640","37,213",20,2007,3.80,606634,"Fiction,Christian,Christian Fiction,Religion,Spirituality,Religion,Inspirational,Religion,Adult Fiction,Adult"
"A Time to Kill (Jake Brigance, #1)",John Grisham,3.95,"5,726,241","212,203",323,1989,4.10,774455,"Fiction,Mystery,Thriller,Mystery,Suspense,Thriller,Thriller,Novels,Adult Fiction,Adult"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time (Paperback),Greg Mortenson,3.67,"371,707","26,071",5,2006,3.66,340507,"Nonfiction,Autobiography,Biography,Travel,Education,Book Club,Biography Memoir,Cultural,Inspirational,History"
Just Mercy: A Story of Justice and Redemption (Hardcover),Bryan Stevenson,4.62,"261,984","31,967",22,2014,4.63,204891,"Nonfiction,Autobiography,Social Movements,Race,Politics,History,Audiobook,Biography,Law,Race"
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,4.33,"755,696","94,926",10,2020,4.36,179384,"Mystery,Young Adult,Thriller,Thriller,Contemporary,Fiction,Mystery,Audiobook,Mystery,Romance"
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.75,"3,109,462","136,096",90,2000,3.68,710050,"Womens Fiction,Fiction,Romance,Contemporary,Humor,Adult,Adult Fiction,Romance,Humor,Young Adult"
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.09,"710,917","41,028",223,1989,4.25,223148,"Science Fiction,Fiction,Fantasy,Space,Science Fiction Fantasy,Audiobook,Horror,Science Fiction,Space,Classics"
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Mass Market Paperback),Bill Bryson,4.03,"1,583,136","95,729",78,1998,4.06,384205,"Nonfiction,Travel,Autobiography,Humor,Environment,Adventure,Audiobook,Biography,History,Nature"
Why Not Me? (Paperback),Mindy Kaling,3.91,"744,686","39,436",23,2015,3.91,204854,"Nonfiction,Autobiography,Humor,Audiobook,Biography,Humor,Writing,Biography Memoir,Biography,Adult"
Brain on Fire: My Month of Madness (ebook),Susannah Cahalan,4.05,"210,718","15,824",2,2012,4.07,200325,"Nonfiction,Autobiography,Psychology,Biography,Health,Audiobook,Science,Medical,Biography Memoir,Health"
Beyond Good and Evil (Paperback),Friedrich Nietzsche,4.04,"420,142","17,368","1,407",1886,4.02,83654,"Philosophy,Nonfiction,Classics,European Literature,Psychology,Religion,Literature,Philosophy,History,Literature"
Maybe in Another Life (Paperback),Taylor Jenkins Reid,4.27,"3,848,601","430,360",19,2015,3.81,134143,"Romance,Fiction,Contemporary,Womens Fiction,Audiobook,Adult,Adult Fiction,Romance,New Adult,Realistic Fiction"
"Still Me (Me Before You, #3)",Jojo Moyes,4.11,"3,003,022","213,734",60,2018,4.12,183192,"Fiction,Romance,Womens Fiction,Contemporary,Audiobook,Adult,Adult Fiction,Romance,New York,Novels"
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,3.97,"2,416,345","190,389",37,2015,4.05,328022,"Romance,Young Adult,Contemporary,Fiction,Audiobook,Young Adult,Womens Fiction,Realistic Fiction,Young Adult,Young Adult"
Cosmos (Mass Market Paperback),Carl Sagan,4.25,"466,985","16,798",96,1980,4.38,136951,"Science,Nonfiction,Science,Science,History,Space,Philosophy,Classics,Science,Audiobook"
Cosmos (Mass Market Paperback),Carl Sagan,4.25,"466,985","16,798",96,1980,4.38,136951,"Science,Nonfiction,Science,Science,History,Space,Philosophy,Classics,Science,Audiobook"
