,Title,Author,Author Average Rating,Rating,Raters,Genres
76,Girls in Trucks,Katie Crouch,3.13,2.84,8730,"Fiction,Womens Fiction,Contemporary,American,Adult,Adult Fiction,Young Adult,Young Adult,Romance,Womens"
77,The Paper Palace (Hardcover),Miranda Cowley Heller,3.86,3.86,217675,"Fiction,Romance,Contemporary,Audiobook,Literary Fiction,Adult,Book Club,Adult Fiction,Womens Fiction,Family"
78,"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,4.15,4.14,157085,"Nonfiction,Science,Humor,Audiobook,Science,Humor,Science,Sequential Art,Adult,Reference"
79,Pride and Prejudice and Mistletoe,Melissa de la Cruz,3.79,2.63,6131,"Romance,Holiday,Fiction,Contemporary,Holiday,Retellings,Womens Fiction,Adult,Romance,Adult Fiction"
80,Four Blondes,Candace Bushnell,3.37,2.84,25382,"Womens Fiction,Fiction,Romance,Contemporary,Adult Fiction,New York,Short Stories,Humor,Novels,Adult"
81,Slave to Fashion,Rebecca    Campbell,2.68,2.66,468,"Womens Fiction,Fiction,Humor,Couture,Contemporary,European Literature,Romance"
82,The Culling: Rise of the Ravagers,Scott Lobdell,3.78,2.84,295,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Young Adult,Graphic Novels Comics,Science Fiction"
83,The Wedding Writer,Susan Schneider,3.37,2.76,230,"Womens Fiction,Fiction"
84,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,4.12,4.12,116406,"Fantasy,Historical,Fiction,Magical Realism,Historical,Audiobook,Fantasy,Fantasy,Adult,Fantasy"
85,That Thing Called Love,Tuhin A. Sinha,3.24,2.89,863,"Fiction,Romance,Novels,Asian Literature"
86,A Clockwork Orange (Paperback),Anthony Burgess,4.0,4.0,669547,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Horror,Novels,Classics,Mystery,European Literature"
87,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.09,4.25,223148,"Science Fiction,Fiction,Fantasy,Space,Science Fiction Fantasy,Audiobook,Horror,Science Fiction,Space,Classics"
88,Conversations with Friends (Kindle Edition),Sally Rooney,3.78,3.8,357977,"Fiction,Contemporary,Romance,Literary Fiction,LGBT,Audiobook,Cultural,Adult,Novels,LGBT"
