Title,Author,Year,Rating,Raters
The Metamorphosis (Paperback),Franz Kafka,Missing,3.84,846801
"The City of Mirrors (The Passage, #3)",Justin Cronin,Missing,4.20,51417
"Patient Zero (Joe Ledger, #1)",Jonathan Maberry,Missing,3.99,28211
Sundial (Hardcover),Catriona Ward,Missing,3.83,8026
"Cirque Du Freak: A Living Nightmare (Cirque Du Freak, #1)",Darren Shan,Missing,4.08,55493
Slasher Girls & Monster Boys (Kindle Edition),April Genevieve Tucholke,Missing,3.87,8487
The Halloween Tree (Paperback),Ray Bradbury,Missing,3.79,27107
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
"Rot & Ruin (Rot & Ruin, #1)",Jonathan Maberry,Missing,4.10,34090
Prodigal Son (Dean Koontz's Frankenstein #1),Dean Koontz,Missing,4.03,34970
Boy's Life (Kindle Edition),Robert McCammon,Missing,4.38,30770
The Whisper Man (Hardcover),Alex North,Missing,4.04,127990
The House Next Door (Mass Market Paperback),Anne Rivers Siddons,Missing,3.87,10869
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,Missing,3.90,200536
This Thing Between Us (Paperback),Gus Moreno,Missing,3.78,7546
The Girl in Red (Paperback),Christina Henry,Missing,3.71,12432
Last Days (Paperback),Adam Nevill,Missing,3.81,5862
The October Country (Hardcover),Ray Bradbury,Missing,4.13,16598
A Cosmology of Monsters (Hardcover),Shaun Hamill,Missing,3.78,7740
The Deep (ebook),Alma Katsu,Missing,3.34,7856
"Anno Dracula (Anno Dracula, #1)",Kim Newman,Missing,3.77,13381
Dark Harvest (Paperback),Norman Partridge,Missing,3.68,6581
Chasing the Boogeyman (Hardcover),Richard  Chizmar,Missing,4.00,15169
Stolen Tongues (Kindle Edition),Felix Blackwell,Missing,3.97,10627
"Forever Odd (Odd Thomas, #2)",Dean Koontz,Missing,3.98,73990
A House at the Bottom of a Lake (Kindle Edition),Josh Malerman,Missing,3.21,13492
The Taking of Jake Livingston (Hardcover),Ryan Douglass,Missing,3.47,9214
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction (Paperback),Grady Hendrix,Missing,4.30,7783
"Taltos (Lives of the Mayfair Witches, #3)",Anne Rice,Missing,3.81,51483
The House on the Borderland (Paperback),William Hope Hodgson,Missing,3.62,7620
The Return (Hardcover),Rachel   Harrison,Missing,3.32,10129
House of Salt and Sorrows (Hardcover),Erin A. Craig,Missing,3.93,65043
"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,Missing,4.02,142179
More Scary Stories to Tell in the Dark (Hardcover),Alvin Schwartz,Missing,4.11,16955
"Welcome to Night Vale (Welcome to Night Vale, #1)",Joseph Fink,Missing,3.83,37848
Shiver: Selected Stories (Hardcover),Junji Ito,Missing,4.35,12601
The Taking (Mass Market Paperback),Dean Koontz,Missing,3.79,38418
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror (Paperback),Robert Louis Stevenson,Missing,3.94,119195
Rules for Vanishing (Hardcover),Kate Alice Marshall,Missing,3.80,7412
The Bad Place (Mass Market Paperback),Dean Koontz,Missing,3.93,35924
"Infected (Infected, #1)",Scott Sigler,Missing,3.84,20296
Strangers (Paperback),Dean Koontz,Missing,4.01,44326
"Monstress, Vol. 1: Awakening (Paperback)",Marjorie M. Liu,Missing,3.96,56786
"The Heart's Desire (The Walking Dead, #4)",Robert Kirkman,Missing,4.20,28926
The Coldest Girl in Coldtown (Hardcover),Holly Black,Missing,3.84,66331
The Graveyard Apartment (Hardcover),Mariko Koike,Missing,3.25,3537
The Complete Fiction (Leather Bound),H.P. Lovecraft,Missing,4.35,12257
The Cipher (Paperback),Kathe Koja,Missing,3.57,4706
Midnight (Paperback),Dean Koontz,Missing,3.85,25858
Zone One (Hardcover),Colson Whitehead,Missing,3.26,22179
Our Wives Under the Sea (Paperback),Julia Armfield,Missing,3.93,9556
"The Boy on the Bridge (The Girl With All the Gifts, #2)",M.R. Carey,Missing,3.96,23472
Certain Dark Things (Paperback),Silvia Moreno-Garcia,Missing,3.75,10180
Blaze (Hardcover),Richard Bachman,Missing,3.75,45929
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,Missing,3.98,113129
A Clockwork Orange (Paperback),Anthony Burgess,Missing,4.00,665129
Tick Tock (Paperback),Dean Koontz,Missing,3.74,33054
Handling the Undead (Paperback),John Ajvide Lindqvist,Missing,3.48,11421
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,Missing,3.96,521937
