Author,Author Average Rating,Author Votes,Review Count,Distinct Works,chi
Doug Henderson,3.53,622,128,9,32
Ernest Hemingway,3.83,2446549,97599,944,35
James Hawes,3.68,8401,896,23,33
Jesse Q. Sutanto,3.7,91995,17468,10,32
Gustaaf Peek,2.93,1107,169,12,22
Jonas Jonasson,3.79,348051,35276,11,32
Anne Frank,4.18,3446416,39176,71,44
Josefina López,3.36,925,139,10,32
J.C. Cliff,3.9,8567,1425,12,32
Amir Tag Elsir,3.34,5892,1526,29,33
V.E. Schwab,4.17,1701292,237346,61,44
Kazuo Ishiguro,3.85,1336716,117743,46,33
Roald Dahl,4.14,3884884,114659,913,45
Sarah Penner,3.76,254886,28396,2,31
Adan Jerreat-Poole,2.98,733,410,4,21
Thomas  Harris,4.08,1002450,22444,28,43
Nita Prose,3.85,240710,26287,4,31
Augusten Burroughs,3.82,664408,28165,19,32
James  Bradley,3.33,6192,1073,30,33
Claire Messud,3.22,70422,9251,35,33
Mary  O'Connell,3.14,1294,294,3,31
Sean Penn,2.45,1796,433,11,22
S.E. Hinton,4.1,1259283,46344,32,43
Kathleen  Hale,3.22,8082,1896,5,31
Kathleen Glasgow,4.1,126130,16308,10,42
J.R. Ward,4.28,2218681,125438,155,44
Benjamin Alire Sáenz,4.31,591334,79555,36,43
Louise Dean,3.04,1204,192,4,31
Brandon Sanderson,4.4,4950089,344996,340,45
Erik Larson,4.0,1154518,87030,26,43
Marissa Meyer,4.21,2589749,270000,56,44
Harper Lee,4.23,5795812,139973,50,43
Manny Howard,2.79,419,121,2,21
Sophie Kinsella,3.75,3109459,136095,90,34
Roseanne Montillo,3.32,3790,832,8,31
Megan Whalen Turner,4.09,214478,24004,16,42
Alex North,3.97,177814,22261,12,32
Renée Ahdieh,3.96,406198,58486,26,33
Ruth Ozeki,4.02,151826,19747,16,42
Dee Brown,4.22,89964,5367,55,44
John Kennedy Toole,3.88,266030,17835,2,31
Emily Giffin,3.81,1643267,66729,20,33
Grant Ginder,3.05,17319,2493,5,31
Joan Aiken,3.96,61613,5548,286,35
Albert Camus,4.02,1436037,65349,564,45
Tessa Bailey,3.9,1002273,113174,78,34
D.G. Chichester,4.06,16049,416,195,44
Kiera Cass,3.99,3603626,223840,33,33
Matthew Battles,3.42,2287,398,9,32
Elissa Sussman,3.72,61211,10022,5,31
Nadine Gordimer,3.57,31847,3517,225,35
Robin LaFevers,3.98,176295,16812,8,31
Benjamin Franklin,3.87,93822,4670,637,35
Charles Duhigg,4.11,486457,23285,24,43
Brandie Buckwine,3.28,1186,171,10,32
Sigmund Freud,3.81,230785,9537,1623,35
Charles den Tex,3.33,2713,294,31,33
Ron Chernow,4.2,306036,18367,14,42
Lev Grossman,3.71,473460,44905,45,33
Sue Townsend,3.76,128826,7264,74,34
Candice Carty-Williams,3.87,135227,13517,20,33
Jane Harper,3.98,474287,45324,12,32
Robin Hobb,4.22,1454659,65914,248,45
Emma Cline,3.48,203248,20712,20,33
Silvia Moreno-Garcia,3.72,400482,63948,143,34
Kate Morton,4.03,748734,76103,20,43
Johnny Damon,2.86,338,40,2,21
Alyssa Cole,3.7,144865,25372,37,33
Erich Maria Remarque,4.12,544313,19552,118,44
Kurt Vonnegut Jr.,4.07,2787191,100770,464,45
Audrey Niffenegger,3.94,1830702,68280,41,33
Greer Hendricks,3.86,654642,63903,9,32
Stephenie Meyer,3.68,13006065,387890,74,34
Karin Slaughter,4.07,1522375,109106,107,44
Samuel Richardson,3.05,20869,1573,328,35
Cecily von Ziegesar,3.59,307708,11438,70,34
Mona Awad,3.52,101838,23576,10,32
Eric Wallace,3.53,1625,172,54,34
Jennette McCurdy,4.59,249076,31464,1,41
Fannie Flagg,4.13,505290,34239,39,43
Kathleen Grissom,4.21,290107,23344,6,41
Catherine Millet,2.88,3712,464,46,23
Yann Martel,3.91,1569054,57986,29,33
Allie Brosh,4.17,231021,18751,3,41
Matthew Flaming,3.0,1277,312,1,31
Danielle L. Jensen,4.1,207786,23624,22,43
Nina LaCour,3.87,212731,32333,18,32
Ursula K. Le Guin,4.07,1257997,85583,753,45
Levi Johnston,2.82,168,31,1,21
Rebecca Serle,3.75,500075,49620,13,32
Ali Hazelwood,4.13,1187810,149821,9,42
Tessa Bailey,3.9,1002342,113179,78,34
Xiran Jay Zhao,4.15,51896,12698,3,41
Torrey Peters,3.99,60645,7688,9,32
Charles Bock,3.08,3979,850,7,31
Harper Lee,4.23,5795640,139969,50,43
Taylor  Adams,3.98,128417,18302,5,31
Alyson Noel,3.68,743254,31589,54,34
Megan Miranda,3.68,470379,41727,18,32
Gustave Flaubert,3.7,358832,17697,650,35
Lionel Shriver,3.93,261296,27655,47,33
John Irving,4.01,1019490,45647,86,44
Lisa Jewell,3.95,1515062,121192,44,33
Kate Quinn,4.32,824595,70577,26,43
Herman Melville,3.57,664896,30878,1002,35
Carl Sagan,4.25,466985,16798,96,44
Ray Bradbury,3.99,2966177,120429,724,35
Kami Garcia,3.82,1036312,56960,79,34
Edith Wharton,3.79,479694,31904,1134,35
Anna Maxted,3.55,42777,1249,20,33
Rachel Pine,2.89,559,66,1,21
Charlotte Roche,2.84,11985,1328,8,21
Mackenzi Lee,4.04,215548,36148,18,42
Alan Cumyn,2.86,1349,424,16,22
Catherine E. McKinley,3.48,961,197,9,32
Lisa Wingate,4.3,743089,63894,37,43
Paul  Davids,2.89,4289,253,14,22
Richard Dawkins,4.02,698105,26920,110,44
Charles Dickens,3.91,3609421,121932,5782,35
Charles Baxter,3.72,32787,3625,68,34
Siddhartha Mukherjee,4.32,145037,12607,28,43
R.L. Stine,3.7,959456,56710,1156,35
Robert Ludlum,4.01,1111519,18062,240,45
Meg Wolitzer,3.56,249464,29195,35,33
Cormac McCarthy,4.02,1406741,95514,46,43
Ben Marcus,4.07,87088,3771,45,43
Emily Henry,4.05,1909306,216951,11,42
A.L. Kennedy,3.65,10846,1837,69,34
Marie Kondō,3.87,403715,37800,34,33
Sylvia Day,4.13,1478207,69875,104,44
Joan Didion,3.96,422550,37908,84,34
Taylor Jenkins Reid,4.27,3848195,430320,19,42
Alex Michaelides,4.09,1514160,146950,9,42
Tana French,3.86,1075244,91140,16,32
Dante Alighieri,4.03,370132,15059,919,45
Patrick Rothfuss,4.46,1572436,93422,55,44
Christina Lauren,3.99,2257526,229455,74,34
Alexandra Aldrich,2.91,1294,223,1,21
Bessel van der Kolk,4.46,113948,9697,32,43
Victor Hugo,4.15,1056468,34645,2259,45
Nathaniel Hawthorne,3.46,947803,27917,1820,35
Dennis Lehane,4.03,616403,37937,84,44
Adam Kay,4.35,305117,21747,31,43
Amanda Elyot,3.51,1874,203,4,31
Andrew O'Hagan,3.79,17166,2381,34,33
Olivie Blake,3.84,135700,27467,22,33
Garth Stein,4.2,522317,45948,19,42
Alice Feeney,3.89,501391,62909,15,32
Karl Marx,3.78,232128,12935,1398,35
Charles Dickens,3.91,3609346,121924,5782,35
L. Frank Baum,3.97,642536,27961,1112,35
Mark Haddon,3.87,1452643,59872,63,34
Erik Larson,4.0,1154503,87029,26,43
Lauren Groff,3.65,254745,32131,56,34
Brian Michael Bendis,3.92,594011,39659,2816,35
Hallie Rubenhold,4.08,50137,7221,8,41
Shel Silverstein,4.34,3015046,42829,118,44
Walter Isaacson,4.15,1633601,39790,71,44
Adrienne Young,4.0,192159,31034,12,42
Abby Grahame,2.88,1363,299,1,21
Charles Soule,3.87,185148,20457,954,35
Mark Manson,3.92,1014602,64007,78,34
Max Brooks,3.98,663103,40693,84,34
Lucy Foley,3.78,1187424,108270,14,32
Bill Bryson,4.03,1583136,95729,78,44
Jim Theis,2.68,573,231,2,21
Peter  Swanson,3.79,362345,45488,13,32
Susanna Clarke,4.03,448266,49196,33,43
Elle Kennedy,4.08,1913891,162394,172,44
Michael Drosnin,3.02,2910,236,6,31
Meg Rosoff,3.5,74051,9711,34,33
Jonathan Haidt,4.19,118495,11616,18,42
Phil Knight,4.47,243297,15363,52,43
Patricia Marx,3.1,5563,1303,32,33
Anne Brontë,3.9,177019,11727,352,35
Dustin Thao,3.74,63188,13048,2,31
Tina Fey,3.96,949773,41166,9,32
Jim Hougan,3.41,1688,132,10,32
Bruna Surfistinha,2.78,1006,64,4,21
P.C. Cast,3.94,2278946,66569,120,34
Ivanka Trump,3.15,1936,332,5,31
Rachel Johnson,3.09,2401,325,48,33
Cassandra Khaw,3.17,40875,9436,112,34
Randy Davila,3.2,424,257,6,31
Stuart Turton,3.87,311380,45135,5,31
Cinda Williams Chima,4.2,395802,25317,22,43
Fredric Wertham,3.18,304,64,15,32
Stephanie Rowe,4.11,58380,5901,98,44
Susanna Rowson,2.95,2972,298,28,23
Sarah Andersen,4.15,212487,22695,14,42
Scott Westerfeld,3.84,1580588,86182,77,34
H.G. Wells,3.82,1238347,50189,2250,35
Kim Wong Keltner,3.2,2054,281,4,31
Simon Winchester,3.85,188425,14913,74,34
Paula Hawkins,3.89,3113071,158298,16,32
Kate Quinn,4.32,824572,70577,26,43
Philip K. Dick,3.93,1245740,68909,1144,35
Morgan Housel,4.38,88310,7406,4,41
Betty Edwards,3.88,348717,1055,23,33
Marieke Nijkamp,3.65,132036,18639,34,33
Emma Straub,3.49,270035,26165,22,33
Patrick Lapeyre,2.82,394,47,10,22
Abi Daré,4.45,123444,13643,4,41
F. Scott Fitzgerald,3.91,5107397,118138,1273,35
Neal Stephenson,4.04,917348,58921,94,44
Eric Rutkow,3.93,1104,189,2,31
Kristin Hannah,4.31,3556497,296620,82,44
Alex Aster,3.54,13838,3501,5,31
Amy Tan,3.94,1006296,30319,84,34
Mark Bittman,3.98,142216,3988,58,34
Robert M. Pirsig,3.78,226465,10317,11,32
Sapphire,3.84,63748,7883,16,32
Leigh Bardugo,4.17,3659560,407634,69,44
Frederik Pohl,3.9,141130,7868,754,35
Alisa Sheckley,3.04,631,81,2,31
Dustin Diamond,2.34,724,155,2,21
Joseph Heller,3.97,817675,23025,43,33
James S.A. Corey,4.29,989780,60186,68,44
E.B. White,4.17,1997007,34613,136,44
Robert Bloch,4.09,175511,9282,861,45
Kerri Maniscalco,4.06,544129,75985,15,42
Maurice Sendak,4.22,1206781,23221,205,44
Angeline Boulley,4.36,99237,14466,4,41
William Golding,3.69,2685635,50212,91,34
Carlos Ruiz Zafón,4.17,1036190,87024,46,43
Caitlin Flanagan,3.16,1281,307,3,31
Susana Fortes,3.23,2277,292,14,32
Agustina Bazterrica,3.88,87615,18913,9,32
Rich Shapero,2.39,3234,1117,10,22
Emilio Calderón,3.19,1005,142,43,33
A.J. Finn,3.96,680773,55356,6,31
Gillian McAllister,4.04,98375,11139,11,42
Ijeoma Oluo,4.49,112561,13129,15,42
Josephine Carr,2.8,670,150,5,21
John Ajvide Lindqvist,3.9,146928,11656,57,34
Diana Wynne Jones,4.12,673448,47749,90,44
Plato,4.03,500348,18002,1915,45
Reni Eddo-Lodge,4.39,101991,8864,26,43
Mikki Kendall,4.37,43949,6078,13,42
E.L. James,3.75,4424543,167741,39,33
Graham Swift,3.64,48939,4949,45,33
Roxane Gay,4.06,303086,35484,123,44
قماشة العليان,2.7,4244,442,9,22
William Shakespeare,3.86,7295856,154518,7712,35
Erin Morgenstern,4.0,1031772,123843,5,41
C.J. Henderson,3.69,7087,905,216,35
Caedem Marquez,3.02,537,73,10,32
J.K. Rowling,4.46,32200425,716343,385,45
Ian McEwan,3.74,1097044,75318,115,34
Isabel Wilkerson,4.49,212975,28557,7,41
Barbara W. Tuchman,4.11,136834,6910,30,43
Stephen R. Covey,4.13,849238,20611,506,45
Frances Hodgson Burnett,4.16,1422554,38142,647,45
جنى فواز الحسن,2.76,1633,397,7,21
Taylor Jenkins Reid,4.27,3848367,430331,19,42
Chris Guillebeau,3.84,88656,4241,40,33
Suzanne Collins,4.26,14551351,471004,32,43
Oyinkan Braithwaite,3.69,251603,28845,7,31
Jamie Ford,3.99,345996,30768,23,33
Jennifer L. Armentrout,4.21,3294466,292070,120,44
Alice Sebold,3.82,2372006,54763,14,32
Lucy Foley,3.78,1187320,108261,14,32
Piers Anthony,3.84,650844,13906,347,35
Elie Wiesel,4.34,1200209,39501,210,45
Michael Crichton,3.87,2667951,76866,129,34
Margaret  Rogerson,3.91,192097,33234,4,31
Lee Child,4.07,2611584,131252,360,45
Stephen Chbosky,4.2,1640166,86283,11,42
Ally Condie,3.6,1171751,68896,28,33
Amber   Smith,4.16,50061,6516,9,42
Jennifer Wolfthal,2.25,103,61,1,21
Heidi Pitlor,3.66,27562,3779,22,33
T.J. Klune,4.38,729747,128345,55,44
David Metzenthen,3.26,1098,195,49,33
Joanna Kavenna,3.25,2300,491,14,32
Thomas Hardy,3.86,673575,32752,1187,35
Tracy Chevalier,3.86,955826,36481,53,33
Courtney Summers,3.94,193498,36372,16,32
Elizabeth Acevedo,4.3,281118,47891,19,42
Ali Hazelwood,4.13,1187570,149802,9,42
Jojo Moyes,4.11,3003022,213734,60,44
Heather   Morris,4.3,934711,63078,14,42
Emma Donoghue,3.97,1030443,82303,67,34
Philip G. Zimbardo,4.29,71704,6426,100,44
Fyodor Dostoevsky,4.19,1947631,101858,2345,45
Henry David Thoreau,3.84,283099,12581,968,35
Alice Walker,4.23,708018,26772,197,44
Yaa Gyasi,4.36,410151,46054,11,42
Lauren Kate,3.79,1194214,52807,54,34
Sylvia Nasar,4.13,132150,1812,9,42
Bret Easton Ellis,3.71,491312,25276,27,33
Lynn Painter,4.08,128132,22623,8,41
Lynn Edelman Schnurnberger,3.35,3582,381,9,32
William Landay,3.98,293522,23559,4,31
John Boyne,4.16,1044991,70115,44,43
Joshua Foer,3.9,91741,7210,8,31
Hannah Mccouch,2.76,357,63,2,21
Steven Erikson,4.25,502750,24160,117,44
Albert Camus,4.02,1435968,65346,564,45
Gillian Flynn,4.06,4699806,273615,21,43
Rebbecca Ray,2.89,1977,191,6,21
Robert  Stone,3.91,67113,4793,36,33
William Makepeace Thackeray,3.79,133753,4969,1101,35
Kalynn  Bayron,3.84,75005,13682,17,32
Homer,3.84,1514834,29713,1246,35
Stephenie Meyer,3.68,13006278,387894,74,34
Samantha Young,4.1,696075,54447,88,44
Julie Kagawa,4.05,901390,68723,76,44
Holly Black,4.09,2906111,278344,168,44
Abraham   Verghese,4.3,440150,36353,14,42
Caroline Kepnes,3.85,318418,36859,25,33
Jack Weatherford,4.03,75583,4554,14,42
Martin Amis,3.62,126031,9835,76,34
J.K. Rowling,4.46,32199008,716314,385,45
Michelle Alexander,4.52,100472,10225,25,43
Kevin Kwan,3.86,835020,64118,7,31
George Dawes Green,4.0,21274,1534,8,41
Travis Bradberry,3.84,83837,1885,22,33
J.R.R. Tolkien,4.35,10073709,175264,512,45
Isaac Asimov,4.17,2345921,77922,2981,45
Alix E. Harrow,4.01,203831,33510,39,43
Eva Stachniak,3.55,16970,2055,6,31
David  James,2.98,321,89,2,21
Sheryl Sandberg,3.94,309225,18599,27,33
John Milton,3.85,186657,6711,914,35
Sara Nisha Adams,4.08,52854,8325,2,41
Tessa Bailey,3.9,1002179,113163,77,34
Maria Mosterd,2.49,1398,103,3,21
Carrie Mesrobian,3.47,5100,1011,7,31
Salman Rushdie,3.83,378881,30796,138,34
Isabel Allende,4.0,1050289,75791,146,44
Kristin Hannah,4.31,3556263,296614,82,44
Tommy Orange,3.98,156435,18528,12,32
Ta-Nehisi Coates,4.27,499214,49085,221,45
Mariana Zapata,4.2,901968,100953,15,42
Jennifer Lynn Barnes,4.2,817207,96336,35,43
Nassim Nicholas Taleb,4.0,245776,16476,43,43
Danielle Crittenden,3.4,903,160,4,31
Agatha Christie,4.02,5724594,337947,3345,45
Katherine Arden,4.23,353862,48530,14,42
Christopher L. Bennett,3.87,15137,1503,60,34
Betty  Smith,4.28,448442,25874,15,42
Matt Bondurant,3.58,6388,851,7,31
